Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
66049040,66,66049,NULL,Salas de cine,Salta,General Guemes,General Guemes,Centro Cultural 13 De Febrero,20 De Febrero Esq. Gorriti,NULL,4430,3874,496276,cine13defebrero2013@outlook.com,https://www.facebook.com/Centro-Cultural-13-de-Febrero-Cine-teatro-962533320483179/,NULL,-24.67630300,-65.04589500,Localización precisa,INCAA / SInCA,Privado comercial,1,252,NULL,2018
66028050,66,66028,NULL,Salas de cine,Salta,Capital,Salta,El Teatrino,Aniceto Latorre 1211,NULL,4400,387,4228904,industriaculturalsrl@gmail.com,http://www.elteatrino.com/,NULL,-24.77323200,-65.41786400,Localización precisa,INCAA / SInCA,Privado comercial,1,120,NULL,2018
66028050,66,66028,NULL,Salas de cine,Salta,Capital,Salta,Cinemark,Av. Monseñor Tavella 4400,NULL,4400,NULL,57771000,lventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,NULL,-24.83230200,-65.42845800,Localización precisa,INCAA / SInCA,Privado comercial,5,897,NULL,2018
66028050,66,66028,NULL,Salas de cine,Salta,Capital,Salta,Fundación Salta,General Guemes 434,NULL,4400,387,4320481,correofundacionsalta@gmail.com,http://www.distritoteatralsalta.com/espacio/teatro-de-la-fundacion-salta/,NULL,-24.78657400,-65.40845100,Localización precisa,INCAA / SInCA,Privado comercial,1,145,NULL,2018
70028010,70,70028,NULL,Salas de cine,San Juan,Capital,San Juan,Espacio San Juan,Av. Jose Ignacio De La Roza Oeste 806,NULL,5417,264,4238611,cpohl@cpmcines.com,http://www.espaciosanjuan.com/,NULL,-31.53987100,-68.57283900,Localización precisa,INCAA / SInCA,Privado comercial,5,849,NULL,2018
74049060,74,74049,NULL,Salas de cine,San Luis,Junin,Merlo,Cinestar,Av. Del Sol 1120,NULL,5881,2664,475660,campos_horacio@yahoo.com.ar,https://www.facebook.com/CineStarMerlo/,NULL,-32.34699100,-64.99821400,Localización precisa,INCAA / SInCA,Privado comercial,1,100,NULL,2018
74056150,74,74056,NULL,Salas de cine,San Luis,La Capital,San Luis,Municipal José La Vía,Av. Lafinur Y Av. Illia S/N,NULL,5700,2664,403539,elartenlaescuela@gmail.com,https://www.ciudaddesanluis.gov.ar/,NULL,-33.29922000,-66.34784600,Localización precisa,INCAA / SInCA,Público municipal,1,75,NULL,2018
78021040,78,78021,NULL,Salas de cine,Santa Cruz,Guer Aike,Río Gallegos,Cine Rio Gallegos,Av. Nestor Kirchner 1142,NULL,9400,2966,423753,socin@hotmail.com,http://www.cineriogallegos.com.ar/,NULL,-51.61991700,-69.21873500,Localización precisa,INCAA / SInCA,Privado comercial,3,290,NULL,2018
78049020,78,78049,NULL,Salas de cine,Santa Cruz,Rio Chico,Gobernador Gregores,Cine Municipal,Av. San Martin 514,NULL,9311,2962,491228,NULL,http://www.santacruz.gob.ar,NULL,-48.75080100,-70.24660500,Localización precisa,INCAA / SInCA,Público municipal,1,80,NULL,2018
86147130,86,86147,NULL,Salas de cine,Santiago del Estero,Rio Hondo,Termas de Río Hondo,Atlas Cine,Bolivar 15,NULL,4220,11,55290375,rabdenur@gmail.com,http://www.santacruz.gob.ar,NULL,-27.49683800,-64.85833000,Localización precisa,INCAA / SInCA,Privado comercial,1,233,NULL,2018
86119100,86,86119,NULL,Salas de cine,Santiago del Estero,Moreno,Quimili,Cine Teatro,Rivadavia 553,NULL,3740,3843,402187,sixtomadiaz@hotmail.com,https://www.municipalidaddequimili.gob.ar/,NULL,-27.64448600,-62.41379900,Localización precisa,INCAA / SInCA,Público municipal,1,136,NULL,2018
90084010,90,90084,NULL,Salas de cine,Tucumán,Capital,San Miguel de Tucumán,Atlas Cine,Av. Brigido Teran 250,NULL,4000,11,55290375,rabdenur@gmail.com,cineatlasweb.com.ar,NULL,-26.83470100,-65.19405900,Localización precisa,INCAA / SInCA,Privado comercial,2,219,NULL,2018
82049020,82,82049,NULL,Salas de cine,Santa Fe,General Obligado,Avellaneda,Luna De Avellaneda,Av. San Martin 810,NULL,3561,3482,598468,gscarel@estudioscarel.com.ar,http://www.cinelunadeavellaneda.com,NULL,-29.11806100,-59.65485300,Localización precisa,INCAA / SInCA,Privado comercial,1,299,NULL,2018
82070050,82,82070,NULL,Salas de cine,Santa Fe,Las Colonias,Esperanza,E-Max Cines,Brigadier Lopez 1471,NULL,3080,3496,420947,martin739@gmail.com,http://www.e-max.com.ar,NULL,-31.45082600,-60.89548300,Localización precisa,INCAA / SInCA,Privado comercial,3,584,NULL,2018
82021310,82,82021,NULL,Salas de cine,Santa Fe,Castellanos,Rafaela,Las Tipas Boulevard,C. Conscripto Zurbriggen 865,NULL,2300,3562,405750,admin@lastipasboulevard.com.ar,www.lastipasrafaela.com.ar/,NULL,-31.24256700,-61.50531900,Localización precisa,INCAA / SInCA,Privado comercial,4,920,NULL,2018
82063170,82,82063,NULL,Salas de cine,Santa Fe,La Capital,Santa Fe,Centro Cultural Prov. Francisco Paco Urondo,Junin 2457,NULL,3000,342,4573735,cencultu@yahoo.com.ar,https://es-la.facebook.com/ccpacourondo/,NULL,-31.63919600,-60.70297400,Localización precisa,INCAA / SInCA,Público provincial,1,800,NULL,2018
82021360,82,82021,NULL,Salas de cine,Santa Fe,Castellanos,Sunchales,Auditorio,Ruta 34 Km 262,NULL,2322,3493,454542,infocet@atilra.org.ar,https://www.ate.org/listado_agenda/seccion/3/zona/26/cine-auditorio-ate.html,NULL,-30.92993400,-61.54663700,Localización precisa,INCAA / SInCA,Privado independiente,1,305,NULL,2018
50049050,50,50049,NULL,Salas de cine,Mendoza,Las Heras,Las Heras,Tadicor Las Heras,Juan Dragui Lucero 1450,NULL,5539,351,4864350,pcavallero@tadicor.com,http://www.tadicor.com/Cines.php,NULL,-32.85318900,-68.80814800,Localización precisa,INCAA / SInCA,Privado comercial,2,284,NULL,2018
50098100,50,50098,NULL,Salas de cine,Mendoza,San Martin,San Martín,Tadicor San Martin,Lateral Sur Ruta Nacional 7 Sin Nro,NULL,5570,351,4864350,pcavallero@tadicor.com,htpp:/www.tadicor.com sección cines ,NULL,-32.85346800,-68.80818400,Localización precisa,INCAA / SInCA,Privado comercial,2,302,NULL,2018
14182060,14,14182,NULL,Salas de cine,Córdoba,Union,Bell Ville,Sudcinemas,Mitre 61,NULL,5900,353,422337,sudcinemas@arnetbiz.com.ar,http://sudcinemas.com.ar/cine-wp/cine/bellville/,NULL,-32.63018200,-62.68662800,Localización precisa,INCAA / SInCA,Privado comercial,2,324,NULL,2018
14014010,14,14014,NULL,Salas de cine,Córdoba,Capital,Córdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,NULL,5014,3515,261500,NULL,https://www.cinesdinomall.com.ar/,NULL,-31.45539200,-64.13979900,Localización precisa,INCAA / SInCA,Privado comercial,2,307,NULL,2018
14098110,14,14098,NULL,Salas de cine,Córdoba,Rio Cuarto,Elena,Cine Teatro Coop Luz Y Fuerza,Mitre 31,NULL,5815,358,4881249,rboatti@coopluzelena.com.ar,''https://www.facebook.com › Places › Elena  Cordoba  Argentina › Movie Theater'',NULL,-32.57161200,-64.39332900,Localización precisa,INCAA / SInCA,Privado comercial,1,279,NULL,2018
14161110,14,14161,NULL,Salas de cine,Córdoba,Tercero Arriba,Oliva,Cine Cooperativo,Colon 301,NULL,5980,3532,410000,administracion@coop-oliva.com.ar / sofia santolin@coop-oliva,http://coop-oliva.com.ar/,NULL,-32.03940300,-63.57042500,Localización precisa,INCAA / SInCA,Privado comunitario ,1,200,NULL,2018
14098230,14,14098,NULL,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Cines Del Paseo,Av. Mugnaini Y Sobremonte,NULL,5800,358,4621235,riocuarto@cinesdelpaseo.com.ar,http://cba.gov.ar,NULL,-33.11805300,-64.34656900,Localización precisa,INCAA / SInCA,Privado comercial,4,955,NULL,2018
14098230,14,14098,NULL,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Centro Cultural Leonardo Favio,Buenos Aires 55,NULL,5800,358,4676836,gamolayoli@hotmail.com,http://www.cba.gov.ar/,NULL,-33.12430600,-64.34916600,Localización precisa,INCAA / SInCA,Público provincial,1,219,NULL,2018
14021250,14,14021,NULL,Salas de cine,Córdoba,Colon,Salsipuedes,Dinosaurio Mall,Av. Sarmiento 1007,NULL,5113,3515,261500,cluduena@grupodinosaurio.com,http://www.cinesdinomall.com.ar,NULL,-31.12682800,-64.29602300,Localización precisa,INCAA / SInCA,Privado comercial,2,322,NULL,2018
14014010,14,14014,NULL,Salas de cine,Córdoba,Capital,Villa Rivera Indarte,Sunstar,Ricardo Rojas 9200,NULL,5008,3543,446300,gerente.cordoba@cinesunstar.com,http://www.cinesunstar.com/,NULL,-31.33576500,-64.28974600,Localización precisa,INCAA / SInCA,Privado comercial,6,1398,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Rector Ricardo Rojas,Av. Corrientes 2038,NULL,1045,NULL,49535405,gabriel.guralnik@gmail.com,http://www.rojas.uba.ar/,NULL,-34.60468200,-58.39595400,Localización precisa,INCAA / SInCA,Público nacional,2,250,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Av. Del Libertador 750,NULL,1001,NULL,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,NULL,-34.58809500,-58.38348500,Localización precisa,INCAA / SInCA,Privado comercial,3,585,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,NULL,1425,NULL,48034062,fwhite@aamnba.org.ar,https://www.facebook.com/pg/amigosdelbellasartes/about/?ref=page_internal,NULL,-34.58351100,-58.39268600,Localización precisa,INCAA / SInCA,Privado independiente,1,235,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Gran Rivadavia,Av. Rivadavia 8636,NULL,1407,NULL,46741300,paula@granrivadavia.com.ar,http://www.granrivadavia.com.ar/inicio/,NULL,-34.63481900,-58.48535900,Localización precisa,INCAA / SInCA,Privado comercial,1,1494,si,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Jeronimo Salguero 3172,NULL,1425,NULL,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,NULL,-34.57538500,-58.40399700,Localización precisa,INCAA / SInCA,Privado comercial,3,432,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts,Melian 4880,NULL,1430,NULL,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,NULL,-34.54634400,-58.48843500,Localización precisa,INCAA / SInCA,Privado comercial,10,1918,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinain,Moreno 1199,NULL,1091,NULL,43836432,fernandomadedo@cinain.gob.ar,http://cinain.gob.ar/,NULL,-34.61199700,-58.38319400,Localización precisa,INCAA / SInCA,Público nacional,2,212,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Devoto,Quevedo 3365,NULL,1417,NULL,40196019,mlopez@cinemadevoto.com.ar,https://cinemadevoto.com.ar/,NULL,-34.61165800,-58.51692800,Localización precisa,INCAA / SInCA,Privado comercial,8,1908,NULL,2018
02000010,02,02000,NULL,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Borges,Viamonte 525,Piso 3,1005,NULL,55555358,dpetchersky@yahoo.com.ar,https://www.ccborges.org.ar/,NULL,-34.59972400,-58.37455900,Localización precisa,INCAA / SInCA,Privado comercial,1,160,NULL,2018
06882050,06,06882,NULL,Salas de cine,Buenos Aires,Zarate,Zarate,Cine Teatro Coliseo,19 De Marzo 314,NULL,2800,11,65992021,maquintero78@gmail.com,https://es-la.facebook.com/ZarateCineTeatroColiseo/,NULL,-34.09752900,-59.02214500,Localización precisa,INCAA / SInCA,Privado comercial,1,300,NULL,2018
06441030,06,06441,NULL,Salas de cine,Buenos Aires,La Plata,La Plata,Cine Municipal Ecoselect,19 Y 51,Piso 2,1900,221,4248733,cineylocacioneslaplata@gmail.com,http://www.cultura.laplata.gov.ar,NULL,-34.92654600,-57.96157700,Localización precisa,INCAA / SInCA,Público municipal,1,60,SI,2018
06357110,06,06357,NULL,Salas de cine,Buenos Aires,General Pueyrredon,Mar del Plata,Cinemacenter,Alberti 1610,NULL,7600,11,52180400,gzamora@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,NULL,-38.01162000,-57.54293900,Localización precisa,INCAA / SInCA,Privado comercial,6,1121,NULL,2018
06714060,06,06714,NULL,Salas de cine,Buenos Aires,Salto,Salto,Cervantes,Alvear 65,NULL,2741,2474,551096,j.burgos.ceres@hotmail.com,http://saltoyvos.com/tag/cine_cervantes/,NULL,-34.29298600,-60.25526400,Localización precisa,INCAA / SInCA,Privado comercial,1,220,NULL,2018
06035010,06,06035,NULL,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Village,Autopista Bs. As. - La Plata Km 6,NULL,1870,NULL,51282828,village.avellaneda@village.com.ar,http://facebook.com/cinecervantes3d,NULL,-34.68020600,-58.33277700,Localización precisa,INCAA / SInCA,Privado comercial,16,3485,NULL,2018
06035010,06,06035,NULL,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Carlos Carella,Av. Galicia 401,NULL,1870,11,37608002,edulabce@hotmail.com,www.unica-cartelera.com.ar/teatros/259-sala-carlos-carella,NULL,-34.67374800,-58.38670200,Localización precisa,INCAA / SInCA,Privado comercial,1,45,NULL,2018
06490010,06,06490,NULL,Salas de cine,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Cine Teatro Español Lomas De Zamora,Av. Hipolito Yrigoyen 9070,NULL,1832,NULL,42430381,lomasteatroespanol@gmail.com,https://www.facebook.com/cineteatroespanol/,NULL,-34.76125100,-58.40263100,Localización precisa,INCAA / SInCA,Público municipal,1,522,SI,2018
06539010,06,06539,NULL,Salas de cine,Buenos Aires,Merlo,San Antonio de Padua,Village,Av. Juan Domingo Peron 24056,NULL,1718,NULL,51688888,village.merlo@village.com.ar,https://www.villagecines.com/,NULL,-34.66661000,-58.70290200,Localización precisa,INCAA / SInCA,Privado comercial,6,1315,NULL,2018
06840010,06,06840,NULL,Salas de cine,Buenos Aires,Tres de Febrero,Santos Lugares,Cine Teatro Ocean,Av. La Plata 3530,NULL,1676,NULL,47579861,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/noticias/cultura-y-educacin/reinauguracion-del-cine-teatro-ocean/,NULL,-34.60130100,-58.54387300,Localización precisa,INCAA / SInCA,Público municipal,1,271,NULL,2018
06014010,06,06014,NULL,Salas de cine,Buenos Aires,Adolfo Gonzales Chaves,Gonzales Chaves,Cine Coliseo,Av. San Martin 235,Piso 1,7513,2983,481740,sespagch@hotmail.com,https://www.facebook.com/pg/ZarateCineTeatroColiseo/about/?ref=page_internal,NULL,-38.03123200,-60.09603700,Localización precisa,INCAA / SInCA,Privado comercial,1,250,SI,2018
06105060,06,06105,NULL,Salas de cine,Buenos Aires,Bolivar,Bolivar,María Esther Chiquita Domeño,Av. San Martin 642,NULL,6550,2314,480184,analia.carbajo@live.com,NULL,NULL,-36.23122400,-61.11336700,Localización precisa,INCAA / SInCA,Privado comunitario ,1,256,SI,2018
06861010,06,06861,NULL,Salas de cine,Buenos Aires,Vicente Lopez,Munro,Centro Cultural Municipal Munro,Av. Velez Sarsfield 4650,NULL,1605,NULL,47971162,york.cultura@vicentelopez.gov.ar,https://www.vicentelopez.gov.ar/modernizacion/punto-de-interes/3-centro-cultural-munro,NULL,-34.53037200,-58.52388400,Localización precisa,INCAA / SInCA,Público municipal,1,540,NULL,2018
06408010,06,06408,NULL,Salas de cine,Buenos Aires,Hurlingham,Hurlingham,Centro Cultural Leopoldo Marechal,Av. Vergara 2396,NULL,1686,NULL,NULL,NULL,https://www.facebook.com/pages/Centro-Cultural-Leopoldo-Marechal-Hurlingham/297621827101262,NULL,-34.57671600,-58.64197100,Localización precisa,INCAA / SInCA,Público municipal,1,600,NULL,2018
06525020,06,06525,NULL,Salas de cine,Buenos Aires,Marcos Paz,Marcos Paz,Cine Teatro Roma,Avellaneda 1950,NULL,1727,220,4776523,cine@marcospaz.gov.ar,https://www.facebook.com/pg/cinemarcospaz/about/?ref=page_internal,NULL,-34.78122200,-58.83862300,Localización precisa,INCAA / SInCA,Público municipal,1,350,NULL,2018
06371010,06,06371,NULL,Salas de cine,Buenos Aires,General San Martin,Villa Ballester,José Hernández,Balcarce 2973,NULL,1653,NULL,47675752,soteras_jh_am@hotmail.com,https://www.facebook.com/pg/CineTeatroSalaJoseHernandez/about/?ref=page_internal,NULL,-34.55065800,-58.55834000,Localización precisa,INCAA / SInCA,Privado comercial,1,660,NULL,2018
06568010,06,06560,NULL,Salas de cine,Buenos Aires,Moreno,El Palomar,Cine Teatro Helios,Boulevard San Martin 3076,NULL,1684,NULL,47518647,produccion@cineteatrohelios.com.ar,https://www.cinesargentinos.com.ar/horarios/c:733:cine-teatro-helios/,NULL,-34.60392100,-58.59290400,Localización precisa,INCAA / SInCA,Privado comercial,1,349,SI,2018
06441030,06,06441,NULL,Salas de cine,Buenos Aires,La Plata,La Plata,Taller De Teatro - UNLP,Calle 10 1076,NULL,1900,221,6239105,proyeccionesterrestres@gmail.com,https://www.facebook.com/pg/Clases-de-Teatro-La-Plata-124851047580248/about/?ref=page_internal,NULL,-34.91982400,-57.94985300,Localización precisa,INCAA / SInCA,Privado comercial,1,100,NULL,2018
06063010,06,06063,NULL,Salas de cine,Buenos Aires,Balcarce,Balcarce,Cine Paris Balcarce,Calle 18 684,NULL,7620,2266,421703,complejoparis1@gmail.com,https://web.ultracine.com/nueva-sala-cine-paris-de-balcarce/,NULL,-37.84856700,-58.25622500,Localización precisa,INCAA / SInCA,Privado comercial,1,272,NULL,2018
06294050,06,06294,NULL,Salas de cine,Buenos Aires,General Arenales,General Arenales,Cine Teatro Roma,Castelli 152,NULL,6005,2353,460583,mutualafc@yahoo.com.ar,https://www.facebook.com/pages/Cine-Teatro-Roma-General-Arenales/286484061815736,NULL,-34.30384600,-61.30852500,Localización precisa,INCAA / SInCA,Privado comercial,1,208,NULL,2018
06420020,06,06420,NULL,Salas de cine,Buenos Aires,La Costa,San Bernardo,Cine Teatro Arenas,Chiozza 1776,NULL,7111,2257,460050,NULL,https://www.facebook.com/pg/Cine-Teatro-Arenas-3D-San-Bernardo-309783435805259/about/?ref=page_internal,NULL,-36.69927800,-56.67743400,Localización precisa,INCAA / SInCA,Privado comercial,3,1358,NULL,2018
06595070,06,06595,NULL,Salas de cine,Buenos Aires,Olavarria,Olavarría,Cine Paris,General Paz 2720,NULL,7400,2284,417751,complejoparis1@gmail.com,http://www.cineparis.com.ar,NULL,-36.89403900,-60.32394400,Localización precisa,INCAA / SInCA,Privado comercial,2,383,NULL,2018
06042010,06,06042,NULL,Salas de cine,Buenos Aires,Ayacucho,Ayacucho,Hugo Del Carril,Irigoyen 941,NULL,7150,2296,454949,isaiasalgañaraz@gmail.com,https://www.facebook.com/pages/category/Government-Organization/Direcci%C3%B3n-de-Cultura-Ayacucho-1677928362483344/,NULL,-37.15258200,-58.48596600,Localización precisa,INCAA / SInCA,Público municipal,1,385,NULL,2018
06413050,06,06413,NULL,Salas de cine,Buenos Aires,Junin,Junín,Tu Cine,Jorge Newbery 263,NULL,6000,2364,422299,condor@dimarcointernacional.com,http://www.tucine.com.ar,NULL,-34.58354600,-60.94538700,Localización precisa,INCAA / SInCA,Privado comercial,3,453,NULL,2018
06861010,06,06861,NULL,Salas de cine,Buenos Aires,Vicente Lopez,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,NULL,1636,NULL,47119213,york.cultura@vicentelopez.gov.ar,https://www.facebook.com/cineteatroyorkolivos,NULL,-34.50771500,-58.48496200,Localización precisa,INCAA / SInCA,Público municipal,1,280,NULL,2018
06568010,06,06568,NULL,Salas de cine,Buenos Aires,Moron,Morón,Hoyts,Juan Manuel De Rosas 658,NULL,1744,NULL,54441000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,NULL,-34.63496800,-58.62930500,Localización precisa,INCAA / SInCA,Privado comercial,8,1865,NULL,2018
